key,key:student,code,motivation,goals,draft_mode,key:course,lower_nibble,holder_name
enrolment-01,student-01,A987,motivacion,objetivo,false,course-39,0000,Lorem ipsum
enrolment-02,student-01,B111,motivacion,objetivo,false,course-39,0000,Lorem ipsum
enrolment-03,student-01,BBB347,motivacion,objetivo,true,course-39,null,null
enrolment-04,student-01,BB987,a,objetivo,true,course-39,null,null
enrolment-05,student-01,B987,aa,objetivo,true,course-39,null,null
enrolment-06,student-01,BA987,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,objetivo,true,course-39,null,null
enrolment-07,student-01,AV987,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,objetivo,true,course-39,null,null
enrolment-08,student-01,AR987,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,objetivo,true,course-39,null,null
enrolment-09,student-01,AT987,<h1>Hola</h1>,objetivo,true,course-39,null,null
enrolment-10,student-01,R987,"<script>alert(""hi"")</script>",objetivo,true,course-39,null,null
enrolment-11,student-01,AY987,こんにちは,objetivo,true,course-39,null,null
enrolment-12,student-01,AH987,Здравствуйте добрый день,objetivo,true,course-39,null,null
enrolment-13,student-01,ABC123,)(/()%&/$%&·$%¿=)=,objetivo,true,course-39,null,null
enrolment-14,student-01,AJ987,motivacion,a,true,course-39,null,null
enrolment-15,student-01,AK987,motivacion,aa,true,course-39,null,null
enrolment-16,student-01,AI987,motivacion,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,true,course-39,null,null
enrolment-17,student-01,AS987,motivacion,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,true,course-39,null,null
enrolment-18,student-01,AM987,motivacion,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,true,course-39,null,null
enrolment-19,student-01,AL987,motivacion,<h1>Hola</h1>,true,course-39,null,null
enrolment-20,student-01,AO987,motivacion,"<script>alert(""hi"")</script>",true,course-39,null,null
enrolment-21,student-01,APP987,motivacion,こんにちは,true,course-39,null,null
enrolment-22,student-01,AQ987,motivacion,Здравствуйте добрый день,true,course-39,null,null
enrolment-23,student-01,AOO987,motivacion,$%&$/&%(/&&)(·=?,true,course-39,null,null
